"Y","L","X","K","weight_type","association_type","estimate","variance","se","lower_95","upper_95"
"maxCAL","Cal>=4","FSI","FSI","OPW","pearson",0.00250568500406527,3.05704264648917e-05,0.00552905294466347,-0.00833105963609025,0.0133424296442208
"maxCAL","Cal>=5","DS","DS","OPW","pearson",0.093307836008503,5.07811936349659e-05,0.0071260924520361,0.0793409514520095,0.107274720564996
"maxCAL","Cal>=5","FS","FS","OPW","pearson",0.0641220919037141,2.94064235688367e-05,0.00542276899460384,0.0534936599778101,0.0747505238296181
"maxCAL","Cal>=5","DSI","DSI","OPW","pearson",0.0687972737229273,5.80799016869097e-05,0.00762101710317657,0.0538603546751375,0.0837341927707172
"maxCAL","Cal>=5","FSI","FSI","OPW","pearson",-0.0078798429187002,3.38939792578081e-05,0.00582185359295543,-0.0192904662841579,0.00353078044675756
"maxPD","Pd>=4","DS","DS","OPW","pearson",0.0873905165999234,4.34261760871311e-05,0.00658985402623845,0.0744746400451197,0.100306393154727
"maxPD","Pd>=4","FS","FS","OPW","pearson",0.108738273981698,2.65452023345145e-05,0.00515220363868845,0.0986401404088519,0.118836407554543
"maxPD","Pd>=4","DSI","DSI","OPW","pearson",0.043327771632633,4.57614096834249e-05,0.0067647180047231,0.0300691679778061,0.05658637528746
"maxPD","Pd>=4","FSI","FSI","OPW","pearson",0.0120849241086384,3.08612284428292e-05,0.00555528833120561,0.00119675905573976,0.022973089161537
"maxPD","Pd>=5","DS","DS","OPW","pearson",0.100712942466746,4.60183495266851e-05,0.00678368259330322,0.08741716890132,0.114008716032171
"maxPD","Pd>=5","FS","FS","OPW","pearson",0.10427600083711,3.57593532651295e-05,0.00597991247972155,0.0925555877461546,0.115996413928066
"maxPD","Pd>=5","DSI","DSI","OPW","pearson",0.0509563323546344,4.30442687608442e-05,0.00656081311735399,0.0380973749353227,0.0638152897739462
"maxPD","Pd>=5","FSI","FSI","OPW","pearson",0.0131907808258062,3.75106861360685e-05,0.00612459681416406,0.00118679165021592,0.0251947700013965
"maxPD","Pd>=6","DS","DS","OPW","pearson",0.11832902110259,5.02807923866232e-05,0.00709089503424096,0.104431122217324,0.132226919987856
"maxPD","Pd>=6","FS","FS","OPW","pearson",0.114330533966047,4.1873332625246e-05,0.00647096071887676,0.101647684011676,0.127013383920419
"maxPD","Pd>=6","DSI","DSI","OPW","pearson",0.0688231165200977,4.69369953252058e-05,0.00685105797123377,0.0553952896404835,0.082250943399712
"maxPD","Pd>=6","FSI","FSI","OPW","pearson",0.0287142701738854,4.0830854592256e-05,0.00638990254951169,0.0161902913121218,0.041238249035649
"maxCAL","Cal>=3","DS","DS","MOPW","pearson",0.158191463861295,6.81075198491274e-05,0.0082527280246672,0.142016414158743,0.174366513563847
"maxCAL","Cal>=3","FS","FS","MOPW","pearson",0.0462828954225308,2.76193331558356e-05,0.00525540989417911,0.0359824813059443,0.0565833095391173
"maxCAL","Cal>=3","DSI","DSI","MOPW","pearson",0.140732293474933,8.385168274044e-05,0.00915705644519242,0.122784792637955,0.15867979431191
"maxCAL","Cal>=3","FSI","FSI","MOPW","pearson",0.00857496383516619,3.3208869203697e-05,0.0057627137013474,-0.00271974747269021,0.0198696751430226
"maxCAL","Cal>=4","DS","DS","MOPW","pearson",0.103505648669223,5.80964300915296e-05,0.00762210142228045,0.0885666043950419,0.118444692943404
"maxCAL","Cal>=4","FS","FS","MOPW","pearson",0.0568253754273802,2.57015370802575e-05,0.00506966834026226,0.0468890080669033,0.0667617427878572
"maxCAL","Cal>=4","DSI","DSI","MOPW","pearson",0.0812956446879789,7.02471232539996e-05,0.00838135569308448,0.0648684893879136,0.0977227999880442
"maxCAL","Cal>=4","FSI","FSI","MOPW","pearson",-0.00266504242704408,3.10726916210443e-05,0.00557428844078276,-0.0135904470104162,0.00826036215632807
