"Y","L","X","K","weight_type","association_type","estimate","variance","se","lower_95","upper_95","Age"
"maxCAL","Cal>=3","FSI_score","FSI","CW","pearson",0.00202690963468208,7.45517668112201e-05,0.00863433650092583,-0.0148960789375321,0.0189498982068963,"50-64"
"maxCAL","Cal>=4","DS_score","DS","CW","pearson",0.115316916694552,0.000136155750733759,0.0116685796365179,0.0924469208562395,0.138186912532864,"50-64"
"maxCAL","Cal>=4","FS_score","FS","CW","pearson",0.01648302126693,8.21555608350588e-05,0.00906397047849665,-0.00128203442785772,0.0342480769617177,"50-64"
"maxCAL","Cal>=4","DSI_score","DSI","CW","pearson",0.104505868072957,0.000150749822194272,0.0122780219169975,0.0804413873142487,0.128570348831666,"50-64"
"maxCAL","Cal>=4","FSI_score","FSI","CW","pearson",0.00202690963468208,7.45517668112201e-05,0.00863433650092583,-0.0148960789375321,0.0189498982068963,"50-64"
"maxCAL","Cal>=5","DS_score","DS","CW","pearson",0.115316916694552,0.000136155750733759,0.0116685796365179,0.0924469208562395,0.138186912532864,"50-64"
"maxCAL","Cal>=5","FS_score","FS","CW","pearson",0.01648302126693,8.21555608350588e-05,0.00906397047849665,-0.00128203442785772,0.0342480769617177,"50-64"
"maxCAL","Cal>=5","DSI_score","DSI","CW","pearson",0.104505868072957,0.000150749822194272,0.0122780219169975,0.0804413873142487,0.128570348831666,"50-64"
"maxCAL","Cal>=5","FSI_score","FSI","CW","pearson",0.00202690963468208,7.45517668112201e-05,0.00863433650092583,-0.0148960789375321,0.0189498982068963,"50-64"
"maxPD","Pd>=4","DS_score","DS","CW","pearson",0.104076069351536,0.00010688986660552,0.0103387555636798,0.0838124808017602,0.124339657901311,"50-64"
"maxPD","Pd>=4","FS_score","FS","CW","pearson",0.0707781744372844,8.61505526171312e-05,0.00928173219917119,0.0525863136127631,0.0889700352618056,"50-64"
"maxPD","Pd>=4","DSI_score","DSI","CW","pearson",0.0818538673801386,0.000122853430150735,0.0110839266575855,0.0601297703239876,0.10357796443629,"50-64"
"maxPD","Pd>=4","FSI_score","FSI","CW","pearson",0.0463496692807011,7.73969918816697e-05,0.00879755601753519,0.0291067763343585,0.0635925622270437,"50-64"
"maxPD","Pd>=5","DS_score","DS","CW","pearson",0.104076069351536,0.00010688986660552,0.0103387555636798,0.0838124808017602,0.124339657901311,"50-64"
"maxPD","Pd>=5","FS_score","FS","CW","pearson",0.0707781744372844,8.61505526171312e-05,0.00928173219917119,0.0525863136127631,0.0889700352618056,"50-64"
"maxPD","Pd>=5","DSI_score","DSI","CW","pearson",0.0818538673801386,0.000122853430150735,0.0110839266575855,0.0601297703239876,0.10357796443629,"50-64"
"maxPD","Pd>=5","FSI_score","FSI","CW","pearson",0.0463496692807011,7.73969918816697e-05,0.00879755601753519,0.0291067763343585,0.0635925622270437,"50-64"
"maxPD","Pd>=6","DS_score","DS","CW","pearson",0.104076069351536,0.00010688986660552,0.0103387555636798,0.0838124808017602,0.124339657901311,"50-64"
"maxPD","Pd>=6","FS_score","FS","CW","pearson",0.0707781744372844,8.61505526171312e-05,0.00928173219917119,0.0525863136127631,0.0889700352618056,"50-64"
"maxPD","Pd>=6","DSI_score","DSI","CW","pearson",0.0818538673801386,0.000122853430150735,0.0110839266575855,0.0601297703239876,0.10357796443629,"50-64"
"maxPD","Pd>=6","FSI_score","FSI","CW","pearson",0.0463496692807011,7.73969918816697e-05,0.00879755601753519,0.0291067763343585,0.0635925622270437,"50-64"
"maxCAL","Cal>=3","DS_score","DS","PPW","pearson",0.13302150057569,0.000161784328793201,0.0127194468744989,0.108091842798401,0.157951158352978,"50-64"
"maxCAL","Cal>=3","FS_score","FS","PPW","pearson",0.0405422888232848,3.73789511928655e-05,0.00611383277436221,0.0285593967780343,0.0525251808685353,"50-64"
"maxCAL","Cal>=3","DSI_score","DSI","PPW","pearson",0.148298342403823,0.000209725169618084,0.0144818910926054,0.119914357434285,0.176682327373361,"50-64"
"maxCAL","Cal>=3","FSI_score","FSI","PPW","pearson",0.0324359879068426,4.40138455615968e-05,0.00663429314709538,0.0194330122756547,0.0454389635380304,"50-64"
"maxCAL","Cal>=4","DS_score","DS","PPW","pearson",0.0781758595497848,0.000166165199143973,0.0128905081026301,0.052910927926208,0.103440791173362,"50-64"
"maxCAL","Cal>=4","FS_score","FS","PPW","pearson",0.0434603806098613,4.52095376470237e-05,0.00672380380789206,0.0302819673072796,0.056638793912443,"50-64"
"maxCAL","Cal>=4","DSI_score","DSI","PPW","pearson",0.083756505293563,0.000209782228346679,0.0144838609613141,0.0553686594523017,0.112144351134824,"50-64"
"maxCAL","Cal>=4","FSI_score","FSI","PPW","pearson",0.00642961643035629,5.12876472910106e-05,0.00716153944979783,-0.00760674296511025,0.0204659758258228,"50-64"
"maxCAL","Cal>=5","DS_score","DS","PPW","pearson",0.0531857064988376,0.000169745622306845,0.013028646219268,0.0276500291417585,0.0787213838559168,"50-64"
"maxCAL","Cal>=5","FS_score","FS","PPW","pearson",0.0349087759147349,6.81057728000391e-05,0.0082526221772258,0.0187339336693558,0.051083618160114,"50-64"
"maxCAL","Cal>=5","DSI_score","DSI","PPW","pearson",0.053984273935491,0.000207117642962722,0.0143915823647965,0.0257772908199481,0.0821912570510339,"50-64"
"maxCAL","Cal>=5","FSI_score","FSI","PPW","pearson",-0.0218126786191667,7.21573859709667e-05,0.0084945503689699,-0.0384616914072092,-0.0051636658311243,"50-64"
"maxPD","Pd>=4","DS_score","DS","PPW","pearson",0.0349299410099165,0.000137627358656745,0.0117314687339968,0.011936684805525,0.057923197214308,"50-64"
"maxPD","Pd>=4","FS_score","FS","PPW","pearson",0.0846835859061925,7.73393052598521e-05,0.00879427684689606,0.0674471200162018,0.101920051796183,"50-64"
"maxPD","Pd>=4","DSI_score","DSI","PPW","pearson",0.0199749096000791,0.000175828819856415,0.0132600459975226,-0.00601430298840969,0.0459641221885679,"50-64"
"maxPD","Pd>=4","FSI_score","FSI","PPW","pearson",0.0263961592837758,7.64712578019316e-05,0.00874478460580543,0.00925669640383687,0.0435356221637147,"50-64"
"maxPD","Pd>=5","DS_score","DS","PPW","pearson",0.0302915786529061,0.000162041963175382,0.0127295704238353,0.00534207908352265,0.0552410782222895,"50-64"
"maxPD","Pd>=5","FS_score","FS","PPW","pearson",0.0686120098080158,0.000119595858161322,0.010935989125878,0.0471778649859733,0.0900461546300584,"50-64"
"maxPD","Pd>=5","DSI_score","DSI","PPW","pearson",0.0129600809459576,0.000196503021927191,0.014017953557035,-0.0145146031627862,0.0404347650547014,"50-64"
"maxPD","Pd>=5","FSI_score","FSI","PPW","pearson",0.00854131534066047,0.000117720459240053,0.0108499059553552,-0.0127241095674824,0.0298067402488034,"50-64"
"maxPD","Pd>=6","DS_score","DS","PPW","pearson",0.0454599775834254,0.000199372554051689,0.0141199346334071,0.0177854142378878,0.073134540928963,"50-64"
"maxPD","Pd>=6","FS_score","FS","PPW","pearson",0.0682848994258051,0.000138048087086127,0.0117493866685086,0.0452565247150932,0.0913132741365169,"50-64"
"maxPD","Pd>=6","DSI_score","DSI","PPW","pearson",0.0368227427029399,0.000253746345692902,0.015929417619389,0.0056016578742396,0.0680438275316402,"50-64"
